season,week,game_id,api_id,home_team,away_team,home_team_id,away_team_id,home_score,away_score,result,total
2021,1,2021_01_SS_BD,bdss2101,Barcelona Dragons,Stuttgart Surge,BD,SS,17,21,-4,38
2021,1,2021_01_CC_PW,pwcc2101,Panthers Wroclaw,Cologne Centurions,PW,CC,55,39,16,94
2021,1,2021_01_FG_HD,hdfg2101,Hamburg Sea Devils,Frankfurt Galaxy,HD,FG,17,15,2,32
2021,1,2021_01_LK_BT,btlk2101,Berlin Thunder,Leipzig Kings,BT,LK,27,37,-10,64
2021,2,2021_02_LK_PW,pwlk2102,Panthers Wroclaw,Leipzig Kings,PW,LK,54,28,26,82
2021,2,2021_02_BD_CC,ccbd2102,Cologne Centurions,Barcelona Dragons,CC,BD,40,12,28,52
2021,2,2021_02_FG_SS,ssfg2102,Stuttgart Surge,Frankfurt Galaxy,SS,FG,20,42,-22,62
2021,3,2021_03_CC_LK,lkcc2103,Leipzig Kings,Cologne Centurions,LK,CC,47,48,-1,95
2021,3,2021_03_HD_BD,bdhd2103,Barcelona Dragons,Hamburg Sea Devils,BD,HD,14,32,-18,46
2021,3,2021_03_PW_FG,fgpw2103,Frankfurt Galaxy,Panthers Wroclaw,FG,PW,22,13,9,35
2021,3,2021_03_SS_BT,btss2103,Berlin Thunder,Stuttgart Surge,BT,SS,40,19,21,59
2021,4,2021_04_FG_CC,ccfg2104,Cologne Centurions,Frankfurt Galaxy,CC,FG,20,41,-21,61
2021,4,2021_04_LK_SS,sslk2104,Stuttgart Surge,Leipzig Kings,SS,LK,27,24,3,51
2021,4,2021_04_BT_HD,hdbt2104,Hamburg Sea Devils,Berlin Thunder,HD,BT,44,6,38,50
2021,5,2021_05_PW_BT,btpw2105,Berlin Thunder,Panthers Wroclaw,BT,PW,26,45,-19,71
2021,5,2021_05_HD_LK,lkhd2105,Leipzig Kings,Hamburg Sea Devils,LK,HD,0,55,-55,55
2021,5,2021_05_BD_FG,fgbd2105,Frankfurt Galaxy,Barcelona Dragons,FG,BD,44,22,22,66
2021,6,2021_06_HD_PW,pwhd2106,Panthers Wroclaw,Hamburg Sea Devils,PW,HD,23,26,-3,49
2021,6,2021_06_BT_BD,bdbt2106,Barcelona Dragons,Berlin Thunder,BD,BT,48,16,32,64
2021,6,2021_06_CC_SS,sscc2106,Stuttgart Surge,Cologne Centurions,SS,CC,23,39,-16,62
2021,7,2021_07_BD_HD,hdbd2107,Hamburg Sea Devils,Barcelona Dragons,HD,BD,22,17,5,39
2021,7,2021_07_PW_CC,ccpw2107,Cologne Centurions,Panthers Wroclaw,CC,PW,33,31,2,64
2021,7,2021_07_BT_LK,lkbt2107,Leipzig Kings,Berlin Thunder,LK,BT,37,24,13,61
2021,7,2021_07_SS_FG,fgss2107,Frankfurt Galaxy,Stuttgart Surge,FG,SS,57,3,54,60
2021,8,2021_08_CC_BD,bdcc2108,Barcelona Dragons,Cologne Centurions,BD,CC,NA,NA,NA,NA
2021,8,2021_08_HD_FG,fghd2108,Frankfurt Galaxy,Hamburg Sea Devils,FG,HD,NA,NA,NA,NA
2021,8,2021_08_SS_LK,lkss2108,Leipzig Kings,Stuttgart Surge,LK,SS,NA,NA,NA,NA
2021,9,2021_09_FG_PW,pwfg2109,Panthers Wroclaw,Frankfurt Galaxy,PW,FG,NA,NA,NA,NA
2021,9,2021_09_BD_SS,ssbd2109,Stuttgart Surge,Barcelona Dragons,SS,BD,NA,NA,NA,NA
2021,9,2021_09_HD_BT,bthd2109,Berlin Thunder,Hamburg Sea Devils,BT,HD,NA,NA,NA,NA
2021,10,2021_10_LK_CC,cclk2110,Cologne Centurions,Leipzig Kings,CC,LK,NA,NA,NA,NA
2021,10,2021_10_PW_HD,hdpw2110,Hamburg Sea Devils,Panthers Wroclaw,HD,PW,NA,NA,NA,NA
2021,10,2021_10_BD_BT,btbd2110,Berlin Thunder,Barcelona Dragons,BT,BD,NA,NA,NA,NA
2021,11,2021_11_SS_CC,ccss2111,Cologne Centurions,Stuttgart Surge,CC,SS,NA,NA,NA,NA
2021,11,2021_11_FG_BD,bdfg2111,Barcelona Dragons,Frankfurt Galaxy,BD,FG,NA,NA,NA,NA
2021,11,2021_11_BT_PW,pwbt2111,Panthers Wroclaw,Berlin Thunder,PW,BT,NA,NA,NA,NA
2021,11,2021_11_LK_HD,hdlk2111,Hamburg Sea Devils,Leipzig Kings,HD,LK,NA,NA,NA,NA
2021,12,2021_12_BT_SS,ssbt2112,Stuttgart Surge,Berlin Thunder,SS,BT,NA,NA,NA,NA
2021,12,2021_12_PW_LK,lkpw2112,Leipzig Kings,Panthers Wroclaw,LK,PW,NA,NA,NA,NA
2021,12,2021_12_CC_FG,fgcc2112,Frankfurt Galaxy,Cologne Centurions,FG,CC,NA,NA,NA,NA
